regional,categoria,jan,fev,mar
SP,Receita,17800000,17600000,18900000
SP,Custo Direto,9100000,8900000,9650000
SP,Despesa Operacional,3650000,3520000,3850000
RJ,Receita,8400000,8100000,8800000
RJ,Custo Direto,4520000,4350000,4900000
RJ,Despesa Operacional,1710000,1660000,1830000
MG,Receita,5300000,5100000,5650000
MG,Custo Direto,2680000,2580000,2880000
MG,Despesa Operacional,1020000,990000,1080000
BA,Receita,2900000,2800000,3100000
BA,Custo Direto,2050000,2000000,2200000
BA,Despesa Operacional,790000,770000,830000
